zip_code,borough_name,neighborhood
10001,MANHATTAN,Chelsea/Clinton
10002,MANHATTAN,Lower East Side
10007,MANHATTAN,Lower Manhattan
10009,MANHATTAN,East Village
10010,MANHATTAN,Gramercy Park/Murray Hill
10011,MANHATTAN,Chelsea/Clinton
10014,MANHATTAN,Greenwich Village/SoHo
10021,MANHATTAN,Upper East Side
10023,MANHATTAN,Upper West Side
10025,MANHATTAN,Upper West Side
10029,MANHATTAN,East Harlem
10035,MANHATTAN,East Harlem
10036,MANHATTAN,Chelsea/Clinton
10040,MANHATTAN,Inwood/Washington Heights
10065,MANHATTAN,Upper East Side
10128,MANHATTAN,Upper East Side
10301,STATEN ISLAND,St. George
10304,STATEN ISLAND,Stapleton
10312,STATEN ISLAND,New Springville
10314,STATEN ISLAND,New Springville
10451,BRONX,Highbridge/South Bronx
10452,BRONX,Highbridge/South Bronx
10456,BRONX,Central Bronx
10458,BRONX,Fordham/University Heights
10462,BRONX,Northeast Bronx
10466,BRONX,Northeast Bronx
10467,BRONX,Northeast Bronx
10468,BRONX,Kingsbridge/Riverdale
10471,BRONX,Kingsbridge/Riverdale
10475,BRONX,Northeast Bronx
11201,BROOKLYN,Northwest Brooklyn
11203,BROOKLYN,Flatbush
11205,BROOKLYN,Northwest Brooklyn
11207,BROOKLYN,East New York
11211,BROOKLYN,Bushwick/Williamsburg
11215,BROOKLYN,Northwest Brooklyn
11217,BROOKLYN,Northwest Brooklyn
11221,BROOKLYN,Bushwick/Williamsburg
11222,BROOKLYN,Greenpoint
11225,BROOKLYN,Flatbush
11226,BROOKLYN,Flatbush
11232,BROOKLYN,Sunset Park
11233,BROOKLYN,Brownsville/Ocean Hill
11235,BROOKLYN,Southern Brooklyn
11238,BROOKLYN,Crown Heights/Prospect Heights
11354,QUEENS,Flushing/Clearview
11368,QUEENS,Jackson Heights
11369,QUEENS,Jackson Heights
11372,QUEENS,Jackson Heights
11373,QUEENS,Elmhurst/Corona
11374,QUEENS,Rego Park/Forest Hills
11375,QUEENS,Rego Park/Forest Hills
11377,QUEENS,Woodside/Sunnyside
11385,QUEENS,Ridgewood/Glendale
11411,QUEENS,Southeast Queens
11414,QUEENS,Howard Beach/Ozone Park
11432,QUEENS,Jamaica
11434,QUEENS,Jamaica
11691,QUEENS,Rockaways
